Rank,Movie,Release Date,Distributor,Genre,2023 Gross,Tickets Sold
446,The Delinquents,"Oct 18, 2023",MUBI,Drama,"$42,279","3,921"
447,Alcarràs,"Jan 6, 2023",MUBI,Drama,"$41,093","3,811"
448,La maman et la putain,"Jun 23, 2023",Janus Films,Drama,"$40,555","3,762"
449,Radical Wolfe,"Sep 15, 2023",Kino Lorber,Documentary,"$39,288","3,644"
450,Teddy’s Christmas,"Dec 1, 2023",Blue Fox Entertai…,Adventure,"$38,953","3,613"
451,Tokyo Pop,"Apr 15, 1988",,Comedy,"$37,835","3,509"
452,"Orlando, My Political Biogr…","Nov 10, 2023",Janus Films,Drama,"$37,461","3,475"
453,Make Me Famous,"Jun 22, 2023",,Documentary,"$37,275","3,457"
454,Mister Organ,"Oct 6, 2023",Drafthouse Films,Documentary,"$36,434","3,379"
455,Canary,"Sep 15, 2023",Oscilloscope Pict…,Documentary,"$35,603","3,302"
456,The Innocent,"Mar 17, 2023",Janus Films,Comedy,"$34,822","3,230"
457,A Compassionate Spy,"Aug 4, 2023",Magnolia Pictures,Documentary,"$34,502","3,200"
458,Island of Lemurs: Madagascar,"Apr 4, 2014",Warner Bros.,Documentary,"$34,164","3,169"
459,Pandas,"Apr 6, 2018",IMAX Films,Documentary,"$32,774","3,040"
460,The Civil Dead,"Feb 10, 2023",Utopia,Comedy,"$32,346","3,000"
461,The Cow Who Sang a Song Int…,"May 19, 2023",Kino Lorber,Drama,"$31,879","2,957"
462,The Pod Generation,"Aug 11, 2023",Vertical Entertai…,Black Comedy,"$31,569","2,928"
463,The Teacher’s Lounge,"Dec 25, 2023",Sony Pictures Cla…,Drama,"$31,252","2,899"
464,The Headmistress,"Apr 7, 2023",Indican Pictures,Horror,"$30,680","2,846"
465,Bobi Wine: The People's Pre…,"Jul 28, 2023",National Geograph…,Documentary,"$30,263","2,807"
466,Peeping Tom,"Feb 5, 1999",,Thriller/Suspense,"$30,195","2,801"
467,The Melt Goes on Forever: T…,"May 5, 2023",Greenwich,Documentary,"$28,654","2,658"
468,Amanda,"Jul 7, 2023",Oscilloscope Pict…,Comedy,"$28,588","2,651"
469,To the Arctic 3D,"Apr 20, 2012",Warner Bros.,Documentary,"$28,574","2,651"
470,The Sparring Partner,"Dec 9, 2022",Well Go USA,Drama,"$27,527","2,553"
471,La Syndicaliste,"Dec 1, 2023",Kino Lorber,Thriller/Suspense,"$26,826","2,488"
472,The Night of the 12th,"May 19, 2023",Film Movement,Thriller/Suspense,"$26,410","2,449"
473,Cadejo Blanco,"Apr 21, 2023",Film Movement,Drama,"$24,847","2,304"
474,Before the Sunset,"Sep 29, 2023",Freestyle Releasing,Drama,"$23,306","2,161"
475,The Others,"Aug 10, 2001",Miramax,Horror,"$23,155","2,147"
